,Unnamed: 0,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old
0,0,2021-04-26-US-SVL-1,Mi8,1303512999000,1,5,GPS_L1,1303512998924959208,-4942873.903,-25887138.679,-2524100.506,272.485,-339.47900000000004,3154.2529999999997,-12052.292,-0.001,22631230.125,4.497,0.0,6.773,4.852,22631234.410266943,G5,1303513000000
1,1,2021-04-26-US-SVL-1,Mi8,1303512999000,1,19,GPS_L1,1303512998916143222,19074158.566,-16494678.65,7873828.624,1016.512,-309.377,-3012.425,-2308.51,0.001,25274196.238,10.193,0.0,9.854,34.586999999999996,25274182.11082488,G19,1303513000000
2,2,2021-04-26-US-SVL-1,Mi8,1303512999000,1,25,GPS_L1,1303512998930769328,-15012291.791,-7032142.554,20545347.072,-150.485,-2659.775,-980.7719999999999,37815.668,0.002,20889399.969,3.897,0.0,4.34,3.045,20889384.703272942,G25,1303513000000
3,3,2021-04-26-US-SVL-1,Mi8,1303512999000,1,29,GPS_L1,1303512998923545843,-21984143.281,1596525.2130000002,14802137.562,1540.81,-1091.087,2393.823,-101008.219,-0.002,23054946.293,3.897,0.0,6.877000000000001,5.289,23054916.206034023,G29,1303513000000
4,4,2021-04-26-US-SVL-1,Mi8,1303512999000,1,31,GPS_L1,1303512998916463419,-9488095.372000001,12230994.027,21534096.641999997,-2454.754,-1243.03,-328.63699999999994,-34150.646,-0.001,25178203.591999996,12.591,0.0,9.325,23.406,25178166.190757178,G31,1303513000000
5,5,2021-04-26-US-SVL-1,Mi8,1303512999000,1,2,GPS_L1,1303512998928372166,-1364236.481,-16481532.965999998,21430412.496,2424.658,858.2589999999999,845.2139999999999,-179631.65,0.001,21608051.058000002,4.797,0.0,4.114,2.923,21608056.05097462,G2,1303513000000
6,6,2021-04-26-US-SVL-1,Mi8,1303512999000,1,12,GPS_L1,1303512998933151930,-9975715.508,-19945750.67,14283745.559,155.849,-1851.434,-2418.965,-9939.431,-0.002,20175113.859,10.493,0.0,3.765,2.5269999999999997,20175112.825955976,G12,1303513000000
7,7,2021-04-26-US-SVL-1,Mi8,1303512999000,1,24,GPS_L1,1303512998918487881,-19093728.180999998,-15687999.907,-10491195.044,1301.8339999999998,205.188,-2701.2270000000003,11469.681999999999,0.01,24571285.153,8.693999999999999,0.0,10.434000000000001,10.290999999999999,24571260.46450116,G24,1303513000000
8,0,2021-04-26-US-SVL-1,Mi8,1303513000000,1,5,GPS_L1,1303512999924961171,-4942601.402,-25887477.969,-2520946.22,272.515,-339.1,3154.3070000000002,-12052.292,-0.001,22630641.633,4.797,0.0,6.772,4.7989999999999995,22630645.972266946,G5,1303513001000
9,1,2021-04-26-US-SVL-1,Mi8,1303513000000,1,19,GPS_L1,1303512999916141388,19075174.898,-16494987.965,7870816.119,1016.155,-309.256,-3012.595,-2308.509,0.001,25274746.056999996,10.793,0.0,9.855,33.924,25274732.592824884,G19,1303513001000
10,2,2021-04-26-US-SVL-1,Mi8,1303513000000,1,25,GPS_L1,1303512999930770476,-15012442.349000001,-7034802.262999999,20544366.075,-150.628,-2659.638,-981.217,37815.67,0.002,20889055.808,3.5980000000000003,0.0,4.34,3.014,20889040.575272944,G25,1303513001000
11,3,2021-04-26-US-SVL-1,Mi8,1303513000000,1,29,GPS_L1,1303512999923547272,-21982602.373000003,1595433.999,14804531.230999999,1541.0020000000002,-1091.337,2393.508,-101008.22099999999,-0.002,23054517.889000002,3.897,0.0,6.876,5.231,23054487.85903402,G29,1303513001000
12,4,2021-04-26-US-SVL-1,Mi8,1303513000000,1,31,GPS_L1,1303512999916464678,-9490550.144,12229751.076,21533767.775,-2454.783,-1242.868,-329.097,-34150.647000000004,-0.001,25177826.154,11.692,0.0,9.325,22.843000000000004,25177789.31475718,G31,1303513001000
13,5,2021-04-26-US-SVL-1,Mi8,1303513000000,1,2,GPS_L1,1303512999928370975,-1361811.753,-16480674.763,21431257.493,2424.803,858.1489999999999,844.783,-179631.64899999998,0.001,21608408.11,4.797,0.0,4.114,2.8930000000000002,21608413.13397462,G2,1303513001000
14,6,2021-04-26-US-SVL-1,Mi8,1303513000000,1,12,GPS_L1,1303512999933151498,-9975559.714,-19947601.952999998,14281326.441,155.74,-1851.135,-2419.271,-9939.433,-0.002,20175243.37,11.692,0.0,3.765,2.502,20175242.359955978,G12,1303513001000
15,7,2021-04-26-US-SVL-1,Mi8,1303513000000,1,24,GPS_L1,1303512999918485826,-19092426.189,-15687794.694,-10493896.158,1302.156,205.238,-2701.011,11469.692,0.01,24571901.226999998,8.394,0.0,10.435,10.15,24571876.68850117,G24,1303513001000
